condition,status,chi,std,extrapolation_factor,dark_finite,dark_nonfinite,triggered_finite,triggered_nonfinite,scan_best_x,scan_best_rfree,diffmap_mtz,extrapolated_mtz,extrapolated_ccp4,phenix_ready_mtz,scan_csv,scan_plot,error
low_ph,ok,0.611876750679,0.169701458603,1.63431605939,78113,1127,36459,42786,,,examples/results/low_ph/low_ph/low_ph_it_tv_diffmap_xtr1.63.mtz,examples/results/low_ph/low_ph/low_ph_it_tv_extrapolated_xtr1.63.mtz,examples/results/low_ph/low_ph/low_ph_it_tv_extrapolated_xtr1.63.ccp4,examples/results/low_ph/low_ph/phenix_ready/low_ph_it_tv_extrapolated_phenix_ready.mtz,,,
trapping_1,ok,0.294283749012,0.0710321239279,3.3980809452,78113,1127,47588,31660,,,examples/results/trapping_1/trapping_1/trapping_1_it_tv_diffmap_xtr3.40.mtz,examples/results/trapping_1/trapping_1/trapping_1_it_tv_extrapolated_xtr3.40.mtz,examples/results/trapping_1/trapping_1/trapping_1_it_tv_extrapolated_xtr3.40.ccp4,examples/results/trapping_1/trapping_1/phenix_ready/trapping_1_it_tv_extrapolated_phenix_ready.mtz,,,
trapping_2,ok,0.186256798831,0.0403554906426,5.36893153043,62330,17361,47589,31659,,,examples/results/trapping_2/trapping_2/trapping_2_it_tv_diffmap_xtr5.37.mtz,examples/results/trapping_2/trapping_2/trapping_2_it_tv_extrapolated_xtr5.37.mtz,examples/results/trapping_2/trapping_2/trapping_2_it_tv_extrapolated_xtr5.37.ccp4,examples/results/trapping_2/trapping_2/phenix_ready/trapping_2_it_tv_extrapolated_phenix_ready.mtz,,,
