  1/d centre Rsplit/%       nref      d / A   Min 1/nm    Max 1/nm
     1.198      13.76       2084       8.34      0.262       2.135
     2.412      14.97       1970       4.15      2.135       2.690
     2.884      16.44       1967       3.47      2.690       3.078
     3.233      18.21       1938       3.09      3.078       3.388
     3.519      19.17       1928       2.84      3.388       3.650
     3.764      20.11       1921       2.66      3.650       3.878
     3.980      23.38       1909       2.51      3.878       4.083
     4.175      24.44       1943       2.39      4.083       4.268
     4.354      28.29       1907       2.30      4.268       4.439
     4.519      36.83       1915       2.21      4.439       4.598
     4.672      41.91       1915       2.14      4.598       4.746
     4.816      46.33       1894       2.08      4.746       4.886
     4.952      55.99       1914       2.02      4.886       5.018
     5.081      69.81       1918       1.97      5.018       5.144
     5.203      87.71       1878       1.92      5.144       5.263
